Tables 4,,,,,,,,
Name,T,C,Description,,,,,
RGDP ,5,1,Gross domestic product: Chain volume measures ,,,,,
CPI-ALL ,6,7,Index Numbers; All groups CPI,,,,,
IBR ,2,9,Interbank overnight cash rate in Australia ,,,,,
,,,,,,,,
,,,,,,,,
Tables 5,,,,,,,,
Name,T,C,Description,,,,,
IP_TotalInd,5,2,Total industrial industries; Index,,,,,
Emp_TotalPer,5,3,Employed â€“ total; Persons,,,,,
Hstarts_PDA,5,5,Private dwelling approvals,,,,,
COMMP ,6,7,"Index of commodity prices; All items; AUD, Index, 2013/14=100 ",,,,,
Exports,5,1,Exports of goods and services ,,,,,
Imports,5,1,Imports of goods and services,,,,,
TermsTrade,5,7,Terms of Trade; Index,,,,,
M1 ,6,10,M1,,,,,
Credit_Total,6,10,Credit; Total ,,,,,
SP ASX AllOrds ,5,12,S& P ASX AllOrds adjusted closing prices ,,,,,