Model ID,Mode Name,Model Type,R code,Training Set,Coefficients,Confidence intervals
SMID0001,House demand predictor by Mankiw,Regression,,,,
SMID0002,House price predictor by Mankiw,Regression,,,,
SMID0003,impact of monetary policy on house price,Var models,,,,
SMID0004,two-stage hedonic price model. ,Mix,,,,
SMID0005,House demand projection by green and Lee,Regression,,,,
SMID0006,House price predictor using fundamental factors,Mix,,,,
SMID0007,Macroeconomic forecasting for Australia using a large number of predictors - 1,Dynamic Factor Model (DFM) ,,,,
SMID0008,Macroeconomic forecasting for Australia using a large number of predictors - 2,Ridge Regression ,,,,
SMID0009,Macroeconomic forecasting for Australia using a large number of predictors - 3,Least Angle Regression (LARS) ,,,,
SMID0010,Macroeconomic forecasting for Australia using a large number of predictors - 4,Bagging LARS ,,,,
SMID0011,Macroeconomic forecasting for Australia using a large number of predictors - 5,Bayesian VAR ,,,,
SMID0012,,,,,,
SMID0013,,,,,,
SMID0014,,,,,,
SMID0015,,,,,,
SMID0016,,,,,,
SMID0017,,,,,,
SMID0018,,,,,,
SMID0019,,,,,,
SMID0020,,,,,,
SMID0021,,,,,,
SMID0022,,,,,,
SMID0023,,,,,,
SMID0024,,,,,,
SMID0025,,,,,,
SMID0026,,,,,,
SMID0027,,,,,,
SMID0028,,,,,,
SMID0029,,,,,,
SMID0030,,,,,,
SMID0031,,,,,,
SMID0032,,,,,,
SMID0033,,,,,,
SMID0034,,,,,,
SMID0035,,,,,,
SMID0036,,,,,,
SMID0037,,,,,,
SMID0038,,,,,,
SMID0039,,,,,,
SMID0040,,,,,,
SMID0041,,,,,,
SMID0042,,,,,,
SMID0043,,,,,,
SMID0044,,,,,,
SMID0045,,,,,,
SMID0046,,,,,,
SMID0047,,,,,,
SMID0048,,,,,,
SMID0049,,,,,,
SMID0050,,,,,,
SMID0051,,,,,,
SMID0052,,,,,,
SMID0053,,,,,,
SMID0054,,,,,,