Var Link ID,Var 1,Var 2,Link Type,Link Origin - Model,Link Origin - Ref,Link Origin - People
VL00001,VID00001,VID00003,Causal,SMID0001,REF0001,
VL00002,VID00002,VID00001,Causal,SMID0002,REF0001,
VL00003,VID00004,VID00005,Formula,MMID0001,REF0003,
VL00004,VID00002,VID00006,Causal,SMID0003,REF0006,
VL00005,VID00002,VID00007,Causal,SMID0003,REF0006,
VL00006,VID00002,VID00008,Causal,SMID0003,REF0006,
VL00007,VID00002,VID00009,Causal,SMID0003,REF0006,
VL00008,VID00002,VID00010,Causal,SMID0003,REF0006,
VL00009,VID00002,VID00011,Causal,SMID0003,REF0006,
VL00010,VID00002,VID00012,Causal,SMID0003,REF0006,
VL00011,VID00002,VID00013,Causal,SMID0003,REF0006,
VL00012,VID00002,VID00014,Causal,SMID0003,REF0006,
VL00013,VID00015,VID00016,Formula,MMID0002,REF0024,
VL00013,VID00015,VID00017,Formula,MMID0002,REF0024,
VL00014,VID00002,VID00018,Causal,"SMID0004, SMID0005",REF0005,
VL00015,VID00002,VID00020,Causal,"SMID0004, SMID0005",REF0005,
VL00016,VID00002,VID00021,Causal,"SMID0004, SMID0005",REF0005,
VL00017,VID00002,VID00022,Causal,"SMID0004, SMID0005",REF0005,
VL00018,VID00002,VID00023,Causal,"SMID0004, SMID0005",REF0005,
VL00019,VID00002,VID00024,Causal,"SMID0004, SMID0005",REF0005,
VL00020,VID00002,VID00025,Causal,"SMID0004, SMID0005",REF0005,
VL00021,VID00002,VID00026,Causal,"SMID0004, SMID0005",REF0005,
VL00022,VID00002,VID00027,Causal,"SMID0004, SMID0005",REF0005,
VL00023,VID00002,VID00028,Causal,"SMID0004, SMID0005",REF0005,
VL00024,VID00002,VID00029,Causal,"SMID0004, SMID0005",REF0005,
VL00025,VID00002,VID00030,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00018,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00020,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00021,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00022,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00023,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00024,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00025,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00026,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00027,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00028,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00029,Causal,"SMID0004, SMID0005",REF0005,
VL00026,VID00001,VID00030,Causal,"SMID0004, SMID0005",REF0005,
VL00027,VID00002,VID00030,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00031,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00032,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00033,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00034,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00035,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00036,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00024,Causal,SMID0006,REF0010,
VL00027,VID00002,VID00008,Causal,SMID0006,REF0010,
VL00028,VID00006,VID00038,Causal,SMID0007,REF0049,
VL00028,VID00006,VID00039,Causal,SMID0007,REF0049,
VL00028,VID00006,VID00040,Causal,SMID0007,REF0049,
VL00029,VID00007,VID00038,Causal,SMID0008,REF0049,
VL00029,VID00007,VID00039,Causal,SMID0008,REF0049,
VL00029,VID00007,VID00040,Causal,SMID0008,REF0049,
VL00030,VID00188,VID00038,Causal,SMID0011,REF0049,
VL00030,VID00188,VID00039,Causal,SMID0011,REF0049,
VL00030,VID00188,VID00040,Causal,SMID0011,REF0049,
VL00031,VID00007,VID00038,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00039,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00040,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00041,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00042,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00043,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00044,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00045,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00046,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00047,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00048,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00049,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00050,Causal,SMID0009,REF0049,
VL00031,VID00007,VID00051,Causal,SMID0009,REF0049,
VL00032,VID00006,VID00038,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00039,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00040,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00041,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00042,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00043,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00044,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00045,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00046,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00047,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00048,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00049,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00050,Causal,SMID0010,REF0049,
VL00032,VID00006,VID00051,Causal,SMID0010,REF0049,