Measure ID,Measure Name,Datasource Reference,Measure Ref @ Datasource,
MID00001,Housing Demand,REF00001,,
MID00002,House Price,REF00001,,
MID00003,Age Cohort,REF00001,,
MID00004,Case-Schiller Index,REF00002,,
MID00005,Case-Schiller Index,REF00003,,
MID00006,House sale price,REF00003,,
MID00007,gross domestic product (GDP) ,REF00004,WRDS0000343,
MID00008,consumer price index inflation (CPI) ,REF00004,WRDS0000344,
MID00009,population,REF00004,WRDS0000345,
MID00010,unemployment rate ,REF00004,WRDS0000346,
MID00011,disposal personal income ,REF00004,WRDS0000347,
MID00012,housing permits ,REF00004,WRDS0000348,
MID00013,mortgage rate ,REF00004,WRDS0000349,
MID00014,account balance ,REF00004,WRDS0000350,
MID00015,exchange rate ,REF00004,WRDS0000351,
MID00016,,,,
MID00017,,,,
MID00018,,,,
MID00019,,,,
MID00020,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,